COUNTY,TRACT_NUM,TOT_POP_2010,DATASET,GEOID,TOT_POP_2018,BORN_OTHER_US_STATE_2010,BORN_OTHER_US_STATE_2018,BORN_FOREIGN_75KPLUS_2010,BORN_FOREIGN_75KPLUS_2018,TWENTY_PCTILE_2010,TWENTY_PCTILE_2018,EIGHTY_PCTILE_2010,EIGHTY_PCTILE_2018,BORN_OTHER_US_STATE_PCT_2010,BORN_OTHER_US_STATE_PCT_2018,BORN_OTHER_US_STATE_PCT_CHANGE,BORN_FOREIGN_75KPLUS_PCT_2010,BORN_FOREIGN_75KPLUS_PCT_2018,BORN_FOREIGN_75KPLUS_PCT_CHANGE,INCOME_GAP_2010,INCOME_GAP_2018,INCOME_GAP_CHANGE
Snohomish,041202,5841.0,acs5,53061041202,5874.0,158.0,159.0,29.0,107.0,25721.0,24048.0,81013.0,92759.0,2.705016264338298,2.706843718079673,0.0018274537413751624,0.4964903269988016,1.8215866530473273,1.3250963260485258,31.749225432955203,25.925247145829516,-5.823978287125687
Snohomish,041301,5224.0,acs5,53061041301,5600.0,557.0,709.0,108.0,357.0,36552.0,54903.0,151276.0,181750.0,10.662327718223583,12.660714285714286,1.9983865674907033,2.0673813169984685,6.375,4.3076186830015315,24.16245802374468,30.207977991746905,6.045519968002225
Snohomish,041303,4846.0,acs5,53061041303,4526.0,206.0,416.0,59.0,217.0,34368.0,35587.0,96724.0,145528.0,4.250928600907965,9.191338930623067,4.940410329715101,1.2174989682212134,4.794520547945205,3.5770215797239917,35.53202927918614,24.453713374745753,-11.078315904440387
Snohomish,041304,3035.0,acs5,53061041304,3077.0,419.0,376.0,38.0,163.0,52218.0,56477.0,170469.0,207188.0,13.805601317957167,12.219694507637309,-1.5859068103198588,1.2520593080724876,5.2973675658108546,4.045308257738367,30.631962409587665,27.258818078267083,-3.3731443313205816
Snohomish,041400,5632.0,acs5,53061041400,5910.0,99.0,349.0,13.0,43.0,25340.0,28212.0,82051.0,111770.0,1.7578125,5.905245346869712,4.147432846869712,0.23082386363636365,0.727580372250423,0.4967565086140594,30.883231161107116,25.241120157466224,-5.642111003640892
Snohomish,041500,1574.0,acs5,53061041500,1329.0,62.0,106.0,4.0,12.0,27288.0,35583.0,82143.0,125500.0,3.9390088945362134,7.975921745673439,4.036912851137226,0.25412960609911056,0.9029345372460496,0.648804931146939,33.220116138928454,28.352988047808765,-4.867128091119689
Snohomish,041601,5217.0,acs5,53061041601,6232.0,240.0,458.0,8.0,150.0,42760.0,38811.0,115167.0,138484.0,4.600345025876941,7.349165596919127,2.7488205710421854,0.15334483419589803,2.4069319640564824,2.2535871298605845,37.12869137860672,28.025620288264346,-9.103071090342372
Snohomish,041605,5848.0,acs5,53061041605,6857.0,310.0,589.0,138.0,117.0,38256.0,57757.0,133250.0,142375.0,5.300957592339262,8.589762286714306,3.2888046943750444,2.359781121751026,1.7062855476155752,-0.6534955741354509,28.70994371482176,40.566812993854256,11.856869279032495
Snohomish,041606,4819.0,acs5,53061041606,5423.0,244.0,436.0,25.0,179.0,36652.0,38311.0,111333.0,148389.0,5.063291139240507,8.039830352203579,2.976539212963072,0.5187798298402159,3.3007560390927533,2.7819762092525373,32.92105664987021,25.81795146540512,-7.10310518446509
Snohomish,041607,3641.0,acs5,53061041607,4193.0,386.0,478.0,69.0,160.0,52231.0,84806.0,166214.0,200750.0,10.601483109035978,11.399952301454807,0.7984691924188283,1.8950837681955508,3.8158836155497253,1.9207998473541745,31.423947441250437,42.24458281444583,10.82063537319539
Snohomish,041608,6329.0,acs5,53061041608,6575.0,465.0,775.0,156.0,114.0,57000.0,80138.0,141885.0,163441.0,7.347132248380471,11.787072243346007,4.439939994965536,2.4648443671986096,1.7338403041825095,-0.7310040630161001,40.17337984987842,49.03176069652046,8.858380846642035
Snohomish,041701,3473.0,acs5,53061041701,6057.0,78.0,351.0,8.0,118.0,17129.0,24045.0,74500.0,115388.0,2.2458969190901237,5.794947994056463,3.5490510749663398,0.2303484019579614,1.9481591546970447,1.7178107527390833,22.99194630872483,20.83838874059694,-2.1535575681278907
Snohomish,041703,5002.0,acs5,53061041703,6041.0,315.0,345.0,79.0,156.0,34942.0,47857.0,138621.0,144677.0,6.297481007596961,5.710975004138388,-0.586506003458573,1.5793682526989206,2.582353914914749,1.0029856622158286,25.206858989619178,33.07851282512079,7.871653835501611
Snohomish,041704,4841.0,acs5,53061041704,5595.0,398.0,509.0,310.0,342.0,38206.0,39186.0,145008.0,153102.0,8.22144185085726,9.097408400357462,0.8759665495002018,6.403635612476761,6.112600536193029,-0.29103507628373215,26.347511861414542,25.59470157150135,-0.7528102899131923
Snohomish,041805,5689.0,acs5,53061041805,6364.0,60.0,197.0,50.0,206.0,21778.0,26712.0,87458.0,100627.0,1.054666901037089,3.095537397862979,2.04087049682589,0.8788890841975743,3.236957888120679,2.358068803923105,24.90109538292666,26.545559342919894,1.6444639599932351
Snohomish,041806,7115.0,acs5,53061041806,8654.0,154.0,216.0,126.0,146.0,17891.0,32728.0,94106.0,106717.0,2.164441321152495,2.495955627455512,0.33151430630301704,1.7709065354884048,1.6870811185578922,-0.0838254169305126,19.01154017809704,30.66802852404022,11.656488345943181
Snohomish,041808,3842.0,acs5,53061041808,3873.0,51.0,66.0,9.0,68.0,30341.0,21951.0,67219.0,89406.0,1.3274336283185841,1.7041053446940357,0.3766717163754516,0.2342529932326913,1.7557449005938548,1.5214919073611635,45.13753551823145,24.552043487014295,-20.585492031217157
