Unnamed: 0,TRACTCE_a,TRACTCE_b,distance,SOURCE,TARGET,FOREIGN75K_2010_a,FOREIGN75K_2010_b,FOREIGN75K_2010_delta,WEIGHT
26203,032203,032212,5810.248898784188,53033032203,53033032212,6.707712248865846,6.473293243721258,0.2344190051445878,0.7920019945085477
38113,032211,032212,1579.1902069052855,53033032211,53033032212,5.508814102564101,6.473293243721258,0.9644791411571569,1.0259502477319697
43274,032102,032212,9069.693065419478,53033032102,53033032212,1.9457804984696108,6.473293243721258,4.527512745251648,4.981730777268431
46450,025003,032212,7596.643079107521,53033025003,53033032212,9.9,6.473293243721258,3.426706756278742,3.84370038856162
61536,023404,032212,5840.015388570672,53033023404,53033032212,3.3272283272283274,6.473293243721258,3.146064916492931,3.415459963700705
79401,032210,032212,3759.955384778494,53033032210,53033032212,5.3325198291641245,6.473293243721258,1.1407734145571338,1.4026916115792698
98060,023100,032212,8697.958613108989,53033023100,53033032212,4.336329984135378,6.473293243721258,2.1369632595858805,2.793062794938191
98854,023403,032212,8021.8256020556555,53033023403,53033032212,4.761904761904762,6.473293243721258,1.7113884818164964,2.3424321938404122
107985,023000,032212,9216.435953667216,53033023000,53033032212,7.230064860740176,6.473293243721258,0.7567716170189174,1.602738050683747
119498,032103,032212,4410.955034853055,53033032103,53033032212,1.7671046669687356,6.473293243721258,4.706188576752522,4.676665222562576
120292,032104,032212,7740.283585898773,53033032104,53033032212,2.8402561155803645,6.473293243721258,3.6330371281408937,4.043761773916682
120689,032207,032212,4144.760967106415,53033032207,53033032212,3.859009419629292,6.473293243721258,2.614283824091966,2.7673315383934107
124659,023300,032212,9731.895601171236,53033023300,53033032212,3.0081577158395647,6.473293243721258,3.4651355278816935,4.091811535210647
125453,024902,032212,9436.91933105782,53033024902,53033032212,6.05833956619297,6.473293243721258,0.41495367752828827,1.3171502428812412
135378,032208,032212,2867.832466913711,53033032208,53033032212,5.3991568067455455,6.473293243721258,1.0741364369757127,1.2535060399695124
139745,025006,032212,8181.749491007018,53033025006,53033032212,5.879959308240081,6.473293243721258,0.5933339354811773,1.3521754910337611
5957,022003,032322,7537.790392726876,53033022003,53033032322,2.369584438549956,5.255600229753017,2.886015791203061,3.3511932513554425
6354,022604,032322,7965.406295252542,53033022604,53033032322,3.833090732654052,5.255600229753017,1.422509497098965,2.0767991769143226
21837,022603,032322,6619.495019318981,53033022603,53033032322,6.10110400929692,5.255600229753017,0.8455037795439031,1.4229029035214107
22234,022801,032322,9779.173753393448,53033022801,53033032322,11.877224199288257,5.255600229753017,6.62162396953524,6.9373789479210615
24616,021802,032322,7277.207964175523,53033021802,53033032322,3.0449961210240497,5.255600229753017,2.210604108728967,2.7172644942736226
27792,021804,032322,8620.030666011677,53033021804,53033032322,1.3190642110502735,5.255600229753017,3.9365360187027436,4.404885483433637
28189,022005,032322,7392.24765089573,53033022005,53033032322,3.297644539614561,5.255600229753017,1.9579556901384558,2.501384886214183
30174,022606,032322,7647.815396216257,53033022606,53033032322,3.8091498134694683,5.255600229753017,1.4464504162835485,2.066586914276819
44069,032309,032322,5241.487256441006,53033032309,53033032322,18.44272523084602,5.255600229753017,13.187125001093001,12.392561226627802
60346,022500,032322,8778.794618765824,53033022500,53033032322,8.179032902624217,5.255600229753017,2.9234326728711997,3.508968867460662
60743,022703,032322,9633.762700321266,53033022703,53033032322,7.559121621621621,5.255600229753017,2.303521391868604,3.0365455227138707
61140,022803,032322,9464.73407699732,53033022803,53033032322,15.064220183486238,5.255600229753017,9.80861995373322,9.77423136605963
69080,021905,032322,6560.333715301788,53033021905,53033032322,2.930928468948555,5.255600229753017,2.324671760804462,2.7482379562541945
69477,022006,032322,7991.217118552428,53033022006,53033032322,6.0517893511783525,5.255600229753017,0.7961891214253356,1.5156919211380446
73050,021903,032322,6097.381611173762,53033021903,53033032322,2.1672875042329838,5.255600229753017,3.088312725520033,3.389219614085406
80196,032307,032322,3439.9151197641368,53033032307,53033032322,2.7022573735376505,5.255600229753017,2.5533428562153664,2.6420000825702434
80593,032311,032322,5421.245875431189,53033032311,53033032322,2.344529431326904,5.255600229753017,2.911070798426113,3.1620883061266203
81387,032320,032322,3801.0154398943323,53033032320,53033032322,2.651988991743808,5.255600229753017,2.6036112380092087,2.7233516581977213
96473,022102,032322,9786.67788887409,53033022102,53033032322,4.982661069538238,5.255600229753017,0.27293916021477926,1.2243130330807102
96870,022202,032322,8767.410981539704,53033022202,53033032322,4.129339305711087,5.255600229753017,1.1262609240419295,1.8903759297917069
97664,022605,032322,5802.962628610522,53033022605,53033032322,10.360524399126,5.255600229753017,5.104924169372983,5.174728015296736
104413,021904,032322,4805.9552543993705,53033021904,53033032322,3.964595242485709,5.255600229753017,1.291004987267308,1.6425000139805142
104810,021906,032322,5281.17670128555,53033021906,53033032322,3.035624686402409,5.255600229753017,2.219975543350608,2.526095659144102
107589,022802,032322,7500.514575224942,53033022802,53033032322,7.166666666666668,5.255600229753017,1.911066436913651,2.47001125074478
113544,021803,032322,9757.200860882118,53033021803,53033032322,0.7213706041478809,5.255600229753017,4.5342296256051355,5.056526749132834
122278,032321,032322,2322.4109623680506,53033032321,53033032322,8.549855651787697,5.255600229753017,3.29425542203468,3.1970709760680167
133394,032313,032322,6260.987726945229,53033032313,53033032322,12.620889748549324,5.255600229753017,7.365289518796307,7.254859339611198
134188,032319,032322,5294.117783397801,53033032319,53033032322,1.348662392217555,5.255600229753017,3.906937837535462,4.045655832121696
