COUNTY,TRACT_NUM,TOT_POP_2010,DATASET,GEOID,TOT_POP_2018,BORN_OTHER_US_STATE_2010,BORN_OTHER_US_STATE_2018,BORN_FOREIGN_75KPLUS_2010,BORN_FOREIGN_75KPLUS_2018,TWENTY_PCTILE_2010,TWENTY_PCTILE_2018,EIGHTY_PCTILE_2010,EIGHTY_PCTILE_2018,BORN_OTHER_US_STATE_PCT_2010,BORN_OTHER_US_STATE_PCT_2018,BORN_OTHER_US_STATE_PCT_CHANGE,BORN_FOREIGN_75KPLUS_PCT_2010,BORN_FOREIGN_75KPLUS_PCT_2018,BORN_FOREIGN_75KPLUS_PCT_CHANGE,INCOME_GAP_2010,INCOME_GAP_2018,INCOME_GAP_CHANGE
King,000100,5784.0,acs5,53033000100,7985.0,362.0,453.0,211.0,238.0,17207.0,18832.0,99318.0,106103.0,6.2586445366528345,5.67313713212273,-0.5855074045301052,3.647994467496543,2.98058860363181,-0.6674058638647327,17.325157574659176,17.748791268861392,0.4236336942022128
King,000200,7682.0,acs5,53033000200,8498.0,315.0,664.0,71.0,317.0,20684.0,37303.0,100531.0,125836.0,4.100494662848217,7.813603200753117,3.7131085379049016,0.9242384795626138,3.730289479877618,2.806051000315004,20.574748087654555,29.644139991735273,9.069391904080716
King,000300,2548.0,acs5,53033000300,2991.0,100.0,177.0,20.0,60.0,29271.0,41357.0,117517.0,152111.0,3.9246467817896384,5.917753259779338,1.993106477989699,0.7849293563579277,2.0060180541624875,1.22108869780456,24.907885667605534,27.188697727317553,2.2808120597120123
King,000401,5805.0,acs5,53033000401,6560.0,146.0,296.0,14.0,244.0,13322.0,13890.0,77172.0,88667.0,2.5150732127476307,4.512195121951219,1.9971219092035881,0.24117140396210165,3.719512195121951,3.4783407911598494,17.262737780542164,15.665354641523905,-1.5973831390182591
King,000402,4662.0,acs5,53033000402,5419.0,158.0,477.0,0.0,71.0,23730.0,33898.0,89537.0,160435.0,3.389103389103389,8.802362059420558,5.413258670317168,0.0,1.3102048348403763,1.3102048348403763,26.503009928856226,21.128806058528376,-5.374203870327849
King,000500,3474.0,acs5,53033000500,3143.0,386.0,675.0,90.0,99.0,51000.0,54353.0,233018.0,250001.0,11.111111111111109,21.476296531975823,10.365185420864707,2.5906735751295336,3.149856824689787,0.5591832495602533,21.886721197504052,21.74111303554786,-0.14560816195619708
King,000600,7235.0,acs5,53033000600,8124.0,405.0,743.0,249.0,229.0,20408.0,32460.0,124846.0,142000.0,5.597788527988943,9.14574101427868,3.5479524862897382,3.441603317208017,2.818808468734613,-0.6227948484734034,16.346538935969114,22.85915492957747,6.512615993608352
King,000700,4643.0,acs5,53033000700,5217.0,139.0,417.0,77.0,101.0,20209.0,32602.0,97076.0,120160.0,2.993754038337282,7.993099482461183,4.999345444123902,1.6584105104458329,1.9359785317232128,0.2775680212773801,20.817709835592733,27.13215712383489,6.314447288242153
King,000800,2986.0,acs5,53033000800,2710.0,204.0,458.0,28.0,71.0,37647.0,47525.0,110850.0,208588.0,6.831882116543873,16.900369003690034,10.068486887146165,0.9377093101138648,2.6199261992619927,1.682216889148128,33.962110960757784,22.78414865668207,-11.177962304075706
King,000900,2025.0,acs5,53033000900,2009.0,305.0,333.0,19.0,115.0,43907.0,61278.0,158647.0,250001.0,15.061728395061731,16.575410652065706,1.5136822570039732,0.9382716049382716,5.724240915878546,4.785969310940275,27.675909408939344,24.511101955592174,-3.1648074533471657
King,001000,1702.0,acs5,53033001000,2055.0,182.0,208.0,14.0,94.0,31409.0,30439.0,136692.0,162600.0,10.693301997649824,10.121654501216543,-0.571647496433279,0.8225616921269095,4.574209245742091,3.751647553615183,22.977935797266852,18.72017220172202,-4.25776359554483
King,001100,2573.0,acs5,53033001100,2752.0,253.0,199.0,58.0,63.0,40176.0,44461.0,133342.0,164778.0,9.832879906723667,7.231104651162791,-2.6017752555608773,2.2541780023319085,2.289244186046512,0.035066183714603134,30.130041547299427,26.98236415055408,-3.1476773967453475
King,001200,5753.0,acs5,53033001200,7124.0,156.0,496.0,48.0,202.0,18099.0,14549.0,66031.0,97192.0,2.711628715452808,6.962380685008423,4.2507519695556155,0.8343472970624022,2.8354856822010106,2.001138385138608,27.40985294785783,14.969339040250224,-12.440513907607606
King,001300,4376.0,acs5,53033001300,4702.0,70.0,469.0,38.0,107.0,11743.0,21915.0,82018.0,127159.0,1.59963436928702,9.974478945129732,8.374844575842713,0.8683729433272395,2.2756273925988943,1.407254449271655,14.31758882196591,17.23432867512327,2.91673985315736
King,001400,4799.0,acs5,53033001400,5674.0,264.0,834.0,41.0,101.0,29300.0,42667.0,112234.0,174417.0,5.501146072098354,14.698625308424392,9.19747923632604,0.8543446551364868,1.7800493479027142,0.9257046927662274,26.10617103551509,24.462638389606518,-1.6435326459085682
King,001500,2463.0,acs5,53033001500,2752.0,362.0,408.0,18.0,55.0,51875.0,57654.0,157857.0,207579.0,14.697523345513602,14.825581395348838,0.12805804983523572,0.7308160779537151,1.9985465116279069,1.267730433674192,32.862020689611484,27.774485858396076,-5.087534831215403
King,001600,4271.0,acs5,53033001600,4758.0,429.0,819.0,91.0,112.0,36704.0,53278.0,152833.0,238688.0,10.044486068836337,17.21311475409836,7.168628685262022,2.1306485600561933,2.3539302227826817,0.2232816627264889,24.015755759554555,22.321189167448722,-1.6945665921058293
