,TRACTCE_a,TRACTCE_b,distance
1267,000200,022606,13350.843313900697
1268,000200,024701,20767.37854678183
1269,000200,031502,74435.0258303095
1270,000200,004000,6964.718581736072
1271,000200,031704,43710.469497721206
1272,000200,025806,31163.331207372048
1273,000200,027300,27468.226684832323
1274,000200,030308,46616.57287360994
1275,000200,020500,3304.9951805591195
1276,000200,022901,17524.762793802875
1277,000200,000800,2480.0846047079967
1278,000200,001702,5254.832711521296
1279,000200,008700,13421.64853210033
1280,000200,031400,62674.02395020016
1281,000200,001100,2246.547824652983
1282,000200,005200,7592.99588294842
1283,000200,027800,30640.27466236514
1284,000200,028700,33982.37415910208
1285,000200,029406,38278.74381075182
1286,000200,031703,41260.06407213274
1287,000200,032211,27257.87671715832
1288,000200,032800,64219.20571404401
1289,000200,029700,40768.60070695587
1290,000200,030201,45037.3021309834
1291,000200,030311,46824.80029831224
1292,000200,030313,47407.65925584482
1293,000200,030403,51179.86824136779
1294,000200,030600,47270.23220607056
1295,000200,031302,64175.64468487232
1296,000200,031906,35223.82617079108
1297,000200,031908,33529.21177600813
1298,000200,032006,45227.98660284824
1299,000200,030003,40844.7572574675
1300,000200,032102,36746.57106337773
1301,000200,032214,25693.04224000379
1302,000200,032309,13978.853181297492
1303,000200,032317,22545.16513328119
1304,000200,032324,14967.650431922655
1305,000200,032329,21572.20671409468
1306,000200,027500,27342.764423577602
1307,000200,024800,20677.131540951767
1308,000200,025003,24234.740365808677
1309,000200,026700,25699.95160170116
1310,000200,026801,24526.246346315398
1311,000200,026802,25583.80190836648
1312,000200,028802,33581.599470145
1313,000200,028902,36386.69568425983
1314,000200,029205,37784.102031308954
1315,000200,029306,35011.03860922916
1316,000200,029407,37843.30673079635
1317,000200,024500,19073.33887022536
1318,000200,024602,22545.691220517318
1319,000200,032602,38855.035989590746
1320,000200,027400,27142.108772838616
1321,000200,001400,4703.88419827542
1322,000200,027701,33141.38333939532
1323,000200,027702,40423.16005595699
1324,000200,028600,32493.03912323294
1325,000200,001600,6106.036248127838
1326,000200,002000,3472.334607842281
1327,000200,002900,5984.727017937912
1328,000200,003400,7020.536276458879
1329,000200,003600,5600.101479197242
1330,000200,004200,6568.627458564473
1331,000200,004301,6407.202747517439
1332,000200,004500,6529.769965401325
1333,000200,004700,8386.109878333038
1334,000200,004800,8287.358267125785
1335,000200,005100,7758.624508833536
1336,000200,000600,1948.4692582721877
1337,000200,026300,24137.541077965056
1338,000200,005400,8875.443520257737
1339,000200,032010,44375.432123166356
1340,000200,023601,16566.62961146545
1341,000200,023700,14624.495227340403
1342,000200,005600,11784.622740493382
1343,000200,022500,10184.219462593137
1344,000200,022703,12687.788512385965
1345,000200,022803,16264.84172380592
1346,000200,023404,24490.57679942162
1347,000200,025302,26743.667008078235
1348,000200,025701,29722.789428388718
1349,000200,026001,25922.88490462266
1350,000200,026100,26740.29249759181
1351,000200,026200,30002.21890904956
1352,000200,031603,51089.89778592942
1353,000200,032500,36330.58864763119
1354,000200,005700,10638.899273837134
1355,000200,005802,11301.029719350128
1356,000200,006300,10396.880905669335
1357,000200,006500,10651.838827241629
1358,000200,007300,11994.545169005727
1359,000200,007700,11994.434675310971
1360,000200,008100,13540.636928276093
1361,000200,008600,13299.50319369487
1362,000200,009300,16827.236914136414
1363,000200,009702,18377.773247104982
1364,000200,010001,17636.951242440213
1365,000200,021905,9816.591363421414
1366,000200,022006,8671.243935389235
1367,000200,010100,17936.911258552896
1368,000200,010900,20514.32907545204
1369,000200,011101,20952.447310212574
1370,000200,011200,22002.55768650709
1371,000200,011900,24686.801428142022
1372,000200,020700,4313.323520618375
1373,000200,020900,4343.639148188523
1374,000200,021300,2281.7881729089877
1375,000200,021903,9943.8210411918
1376,000200,029504,39539.309807497506
1377,000200,029602,44143.733904397974
1378,000200,029802,42446.539454468984
1379,000200,030005,43382.23124050603
1380,000200,030100,43726.78350984741
1381,000200,030304,50042.25395431126
1382,000200,028901,35999.979426482125
1383,000200,029001,38042.42233716566
1384,000200,029003,38256.25857206502
1385,000200,029101,36789.325110645856
1386,000200,029304,33763.21199437456
1387,000200,029307,35587.720727156164
1388,000200,029405,36738.30757700277
1389,000200,029408,37962.223660735486
1390,000200,030901,49750.28472526708
1391,000200,032210,32426.281538347852
1392,000200,032215,27582.506306300606
1393,000200,032307,16790.526408840273
1394,000200,032311,20554.205476605228
1395,000200,032315,26161.185341703156
1396,000200,032320,14283.808858324104
1397,000200,030309,47259.162578221
1398,000200,030310,48628.74447167731
1399,000200,028100,28684.034041576055
1400,000200,028300,33015.76328904319
1401,000200,031204,49044.678293908015
1402,000200,031206,47048.30148951254
1403,000200,030314,46546.84595679792
1404,000200,030401,48201.30495727068
1405,000200,030503,43328.28028401338
1406,000200,030700,48212.83363654537
1407,000200,030801,49213.5455760916
1408,000200,025702,31200.680286384268
1409,000200,025803,32268.07514027761
1410,000200,029801,40214.92119104712
1411,000200,028402,30705.995157789876
1412,000200,028801,34017.294505991646
1413,000200,001500,7193.8512851417245
1414,000200,001701,4742.0299907694825
1415,000200,010800,20107.656434024037
1416,000200,007200,12175.942418233764
1417,000200,007401,11598.025806592785
1418,000200,007500,12046.341718547854
1419,000200,008001,12670.728304580918
1420,000200,008002,13004.401535766394
1421,000200,008400,12630.931374109467
1422,000200,003500,6792.164115845166
1423,000200,003800,5364.262238273246
1424,000200,004100,8164.688203335569
1425,000200,008500,13562.01949600795
1426,000200,009200,14123.116016218797
1427,000200,009500,16201.122836423181
1428,000200,009701,18680.727219758555
1429,000200,006200,9730.025948700444
1430,000200,006400,10916.002818968958
1431,000200,006600,10534.629884769087
1432,000200,011300,22302.6957028199
1433,000200,022101,4457.041973543717
1434,000200,022102,6548.676071974545
1435,000200,022202,7208.713221114649
1436,000200,022300,4601.605612267726
1437,000200,022605,12214.597992278452
1438,000200,023100,20206.794323942355
1439,000200,023401,19808.96348821322
1440,000200,023403,21953.99042381988
1441,000200,023604,18370.74609626874
1442,000200,023801,17176.053138772004
1443,000200,011002,20734.37047791883
1444,000200,011102,21109.1379987709
1445,000200,024100,11784.825857048503
1446,000200,024400,17612.244745326665
1447,000200,025005,25007.863080314044
1448,000200,025102,28422.185116305252
1449,000200,025301,25441.962946611053
1450,000200,025500,27614.198147396226
1451,000200,009900,17592.50323824383
1452,000200,010402,19228.61172686215
1453,000200,010600,20805.25469880013
1454,000200,021904,11139.308381740984
1455,000200,021906,11009.977253330937
1456,000200,000300,1774.5106919373243
1457,000200,000401,3211.45464558786
1458,000200,000500,4404.70355050075
1459,000200,022702,11649.349909019202
1460,000200,001000,2483.057863590851
1461,000200,001200,2369.288531982828
1462,000200,022802,14899.80398191655
1463,000200,023000,19527.1794421076
1464,000200,011500,22395.37467632563
1465,000200,011800,22976.785947161257
1466,000200,001900,3539.7724102339603
1467,000200,002200,4577.5726689379535
1468,000200,002500,4781.667484841386
1469,000200,002700,4679.755180043131
1470,000200,020100,7470.545206285872
1471,000200,020200,6405.967419928235
1472,000200,020401,4967.386106594602
1473,000200,020800,5665.10305368641
1474,000200,021100,1628.6791822979542
1475,000200,021400,3316.6259615325107
1476,000200,021700,6990.344734170596
1477,000200,021803,8318.976428584981
1478,000200,003200,8878.986964155192
1479,000200,024702,23199.22686571376
1480,000200,024903,23303.776003136194
1481,000200,024601,20831.540393623953
1482,000200,032328,20991.909294265726
1483,000200,032401,27436.042931327007
1484,000200,032402,27014.87476656199
1485,000200,032601,37142.533436701924
1486,000200,032325,16022.41856532973
1487,000200,032703,43675.50976699427
1488,000200,031904,34544.69190515053
1489,000200,031907,33261.87677206176
1490,000200,032007,41405.201992988535
1491,000200,032011,44808.7254183359
1492,000200,032103,28687.1220360875
1493,000200,031301,60675.10497725392
1494,000200,032104,31296.079706850476
1495,000200,032207,24818.826790718653
1496,000200,031604,46650.41907052028
1497,000200,031706,42841.104471529405
1498,000200,031903,31034.278622815495
1499,000200,032321,13816.924543174304
1500,000200,032323,15200.780875863942
1501,000200,000402,3359.794941101709
1502,000200,001800,4350.597545566019
1503,000200,003100,7765.736443686205
1504,000200,022701,11248.543913571037
1505,000200,023300,19580.123298596613
1506,000200,024000,13631.576209195962
1507,000200,024902,22294.12306781993
1508,000200,026002,27460.95640899384
1509,000200,027000,25526.367360446937
1510,000200,027600,28018.495582184336
1511,000200,028403,31963.713058681038
1512,000200,029004,38588.0659816962
1513,000200,029901,44741.50795474097
1514,000200,030305,45481.829499603715
1515,000200,030501,44666.50343473175
1516,000200,031205,45458.48621693053
1517,000200,005900,9730.275549656959
1518,000200,004900,8356.164106171464
1519,000200,032704,48224.83663612372
1520,000200,007000,11495.0310944413
1521,000200,009600,16607.352496452215
1522,000200,010500,19655.200403364077
1523,000200,011402,23267.463747167134
1524,000200,020402,4860.281570156243
1525,000200,022201,5849.639373907509
1526,000200,032003,44759.82106227714
1527,000200,032313,17772.300370343855
1528,000200,032327,20322.22051628709
1529,000200,032319,12719.049024055628
1530,000200,030902,51515.27880427085
1531,000200,031800,38182.10823160832
1532,000200,032208,27041.329523665703
1533,000200,022203,6638.302580310013
1534,000200,022902,18499.847491023553
1535,000200,005301,7246.536193252861
1536,000200,020300,5387.675549646903
1537,000200,025804,32029.467001248122
1538,000200,027200,26706.898302127844
1539,000200,004600,6211.966099438846
1540,000200,026400,24067.035196963545
1541,000200,028000,28917.937328175125
1542,000200,024200,11664.907591356556
1543,000200,025006,27301.532321655544
1544,000200,029102,38599.2367897065
1545,000200,029601,42136.062733267
1546,000200,006000,9715.208004558197
1547,000200,007402,12049.29829368015
1548,000200,010401,19315.252596176066
1549,000200,011600,22756.177869807176
1550,000200,021500,4997.819427434811
1551,000200,002600,4890.939369344827
1552,000200,011700,23050.21328745076
1553,000200,021600,5918.236674041735
1554,000200,022001,8582.082741007092
1555,000200,022400,8659.61269205118
1556,000200,023500,18225.479517225
1557,000200,024300,15840.837992034902
1558,000200,025001,23498.468946273453
1559,000200,031100,49302.75977161166
1560,000200,007800,12817.511509453776
1561,000200,009800,18058.372442395303
1562,000200,010701,20852.267915673965
1563,000200,029206,35208.78374656896
1564,000200,031000,51800.63799918737
1565,000200,032002,38832.95984542749
1566,000200,023900,17964.03223818887
1567,000200,025101,26820.850854744345
1568,000200,025602,30214.36042731271
1569,000200,032008,44430.74254201203
1570,000200,032316,20203.89418679964
1571,000200,032326,17936.88104117059
1572,000200,031605,49412.14375403958
1573,000200,032005,43039.18479446256
1574,000200,029902,45308.49444369425
1575,000200,030306,46787.310750046614
1576,000200,030404,51078.16385433257
1577,000200,011001,21006.48682613284
1578,000200,031202,55434.18453667133
1579,000200,029203,38309.67555545618
1580,000200,009400,15389.887342303482
1581,000200,010200,19511.677970811696
1582,000200,008800,13299.248475569528
1583,000200,002800,5506.753357310324
1584,000200,003900,5646.626766926406
1585,000200,006700,10813.068618160178
1586,000200,023603,17042.687292719096
1587,000200,031909,34466.75797657952
1588,000900,031705,38253.80642328464
1589,000900,032212,25152.434293221693
1590,000900,032322,13249.987490796162
1593,000900,002400,2557.7412880081347
1594,000900,004400,5064.130192655575
1595,000900,005000,7333.139610798623
1596,000900,005801,10288.68002234146
1597,000900,006800,10124.478833099192
1598,000900,007900,10644.510850984387
1599,000900,009000,12412.917705527805
1600,000900,009100,12645.336744407374
1601,000900,010702,19369.820327420493
1602,000900,012100,23787.02463507347
1603,000900,022003,5917.724621155668
1604,000900,022604,8125.218593459501
1605,000900,023201,14099.404002012701
1606,000900,023803,11240.779408569544
1607,000900,025200,22843.14422955832
1608,000900,026500,22150.861918510047
1609,000900,027100,23996.917746927073
1610,000900,027900,27591.1658591212
1611,000900,028200,26826.522026607567
1612,000900,029303,30509.08437832457
1613,000900,029502,37669.1326736565
1614,000900,030006,42838.37947678289
1615,000900,030802,47020.10957988478
1616,000900,031501,52023.119833769015
1617,000900,025805,28672.899879951958
1618,000900,028500,29418.498474863292
1619,000900,029204,34476.55359700632
1620,000900,029305,31945.744154327214
1621,000900,029503,37143.974742950115
1622,000900,030004,39745.21776787823
1623,000900,030202,42721.5830573954
1624,000900,030312,46581.65164495766
1625,000900,030504,43117.191554816716
1626,000900,031601,44168.63610031498
1627,000900,007600,9842.553301278442
1628,000900,008200,11656.660105809615
1629,000900,008900,12336.060343208414
1630,000900,010002,14775.478429547054
1631,000900,010300,17023.664865763534
1632,000900,032213,24932.215759527906
1633,000900,032318,19720.181794352684
1634,000900,032702,60746.120002185744
1637,000900,001300,5288.001648120533
1638,000900,002100,2344.712923471819
1639,000900,003000,8034.883224074842
1640,000900,003300,8593.408425914722
1641,000900,006100,7880.872725198235
1642,000900,006900,10776.363511674608
1643,000900,022603,7553.6572620504085
1644,000900,022801,11184.922731058388
1645,000900,023202,14721.96996041555
1646,000900,011401,20850.517047456862
1647,000900,012000,23079.53300780843
1648,000900,020600,7066.211270253341
1649,000900,025400,24540.314851316427
1650,000900,021802,10028.100347040052
1651,000900,025601,25987.27788201433
1652,000900,026600,22661.573628143666
1653,000900,029403,33623.49939598443
1654,000900,032203,19342.279000435286
1655,000900,023804,11805.390065219053
1656,000900,024901,18155.012578876944
1657,000900,021000,6048.661169422099
1658,000900,021804,8653.472397396143
1659,000900,022005,5886.932808640367
1660,000900,004302,5270.082407216643
1661,000900,005302,6320.308406518564
1662,000900,008300,11400.085187731582
1663,000900,007100,11386.338452854301
1664,000900,022606,9823.011132251158
1665,000900,024701,17576.25267164792
1666,000900,031502,70900.5163654094
1667,000900,004000,3513.719891287635
1668,000900,031704,40856.37284572229
1669,000900,025806,28449.691304586882
1670,000900,027300,25370.86959148767
1671,000900,030308,44739.47532326773
1672,000900,020500,6302.7125755917805
1673,000900,022901,13946.664912812956
1675,000900,001702,6995.328989882827
1676,000900,008700,11559.604384909118
1677,000900,031400,59592.030553195465
1678,000900,001100,2606.7864821816333
1679,000900,005200,6583.543109962148
1680,000900,027800,29022.81578734704
1681,000900,028700,32055.418141250877
1682,000900,029406,35495.51236667788
1683,000900,031703,38399.235470532934
1684,000900,032211,23675.286573411526
1685,000900,032800,61127.450390551065
1686,000900,029700,38249.02661178896
1687,000900,030201,43137.4191745885
1688,000900,030311,45031.024791312935
1689,000900,030313,45340.4275635519
1690,000900,030403,49086.7420326451
1691,000900,030600,44726.38935948895
1692,000900,031302,61166.53264217171
1693,000900,031906,32029.113572441547
1694,000900,031908,30496.74220380711
1695,000900,032006,42166.855165969246
1696,000900,030003,38791.235367873975
1697,000900,032102,33201.578998229124
1698,000900,032214,22126.724914375656
1699,000900,032309,10640.284926099164
1700,000900,032317,19006.330659262458
1701,000900,032324,11656.835258811447
1702,000900,032329,18377.679658738034
1703,000900,027500,25598.966333502824
1704,000900,024800,17294.092179345975
1705,000900,025003,20771.8524202558
1706,000900,026700,24190.2033131365
1707,000900,026801,22862.577025332626
1708,000900,026802,23896.820088085966
1709,000900,028802,31388.082402217533
1710,000900,028902,34277.503512926334
1711,000900,029205,35448.80180847472
1712,000900,029306,32228.85305704167
1713,000900,029407,35180.376569486696
1714,000900,024500,16126.939231804396
1715,000900,024602,19817.289275004376
1716,000900,032602,35282.9820007665
1717,000900,027400,25245.531287028247
1718,000900,001400,6973.667924171117
1719,000900,027701,32384.09130102538
1720,000900,027702,39342.35416823155
1721,000900,028600,30691.463493325202
1722,000900,001600,8190.731833007888
1723,000900,002000,3256.837740997661
1724,000900,002900,7086.177506410804
1725,000900,003400,7666.761526201862
1726,000900,003600,5132.114030931022
1727,000900,004200,4195.45006173487
1728,000900,004301,4691.328453064199
1729,000900,004500,5735.9053779946225
1730,000900,004700,9050.886202071524
1731,000900,004800,8434.33998826334
1732,000900,005100,7041.384180043629
1734,000900,026300,21947.979032122817
1735,000900,005400,8147.484465440862
1736,000900,032010,41111.54539484224
1737,000900,023601,13114.866615428438
1738,000900,023700,11089.395492367019
1739,000900,005600,12331.801551632672
1740,000900,022500,6642.125500933981
1741,000900,022703,9104.875908753478
1742,000900,022803,12688.348131069582
1743,000900,023404,20960.385501948855
1744,000900,025302,23985.276504158486
1745,000900,025701,26870.653550486277
1746,000900,026001,23300.558610444554
1747,000900,026100,24237.938773551286
1748,000900,026200,27489.029970081778
1749,000900,031603,47851.21064461417
1750,000900,032500,33402.0318293598
1751,000900,005700,11623.531729219152
1752,000900,005802,11271.553862946399
1753,000900,006300,7906.847057008328
1754,000900,006500,9129.047236120527
1755,000900,007300,10730.863625500975
1756,000900,007700,9963.69486804925
1757,000900,008100,12229.734447495679
1758,000900,008600,11608.12008215054
1759,000900,009300,15228.18337277167
1760,000900,009702,17680.674422519325
1761,000900,010001,15651.050879163517
1762,000900,021905,7893.18490055961
1763,000900,022006,5472.02293842297
1764,000900,010100,15538.40703631126
1765,000900,010900,18672.468845198502
1766,000900,011101,18636.40397361551
1767,000900,011200,20205.372607316545
1768,000900,011900,22174.770994659695
1769,000900,020700,7852.4323156158825
1770,000900,020900,7880.809251608128
1771,000900,021300,3830.8588726212492
1772,000900,021903,7153.225536711149
1773,000900,029504,36861.116561605944
1774,000900,029602,41477.30813216729
1775,000900,029802,40182.51331943862
1776,000900,030005,41266.20185671661
1777,000900,030100,41833.677340655864
1778,000900,030304,48043.99207197752
1779,000900,028901,34000.83752692392
1780,000900,029001,36040.31182843911
1781,000900,029003,36167.47212884768
1782,000900,029101,34551.85556331541
1783,000900,029304,30873.342330937543
1784,000900,029307,32681.15733588352
1785,000900,029405,33929.971048789404
1786,000900,029408,35250.08871618059
1787,000900,030901,47409.79510481746
1788,000900,032210,28843.887356114876
1789,000900,032215,24056.590039662897
1790,000900,032307,14685.134805111013
1791,000900,032311,18255.961893863652
1792,000900,032315,22859.613025631967
1793,000900,032320,12305.549227981055
1794,000900,030309,45312.35192254795
1795,000900,030310,46727.35115513326
1796,000900,028100,26571.81191474077
1797,000900,028300,30701.515871677893
1798,000900,031204,46187.75948462047
1799,000900,031206,44403.736794877186
1800,000900,030314,44529.44092598254
1801,000900,030401,45990.92510551826
1802,000900,030503,40789.26222827124
1803,000900,030700,45732.650779286036
1804,000900,030801,46793.39773779513
1805,000900,025702,28227.520953740237
1806,000900,025803,29393.07167900664
1807,000900,029801,37917.48528512715
1808,000900,028402,28622.21274974851
1809,000900,028801,31959.737685905304
1810,000900,001500,9254.90819023309
1811,000900,001701,6299.658142543309
1812,000900,010800,18669.545732510578
1813,000900,007200,11108.158172709542
1814,000900,007401,10170.661851999686
1815,000900,007500,10417.802908203854
1816,000900,008001,11757.73710762769
1817,000900,008002,11930.625408803482
1818,000900,008400,11119.625705035938
1819,000900,003500,7126.088788639494
1820,000900,003800,3545.435049947518
1821,000900,004100,5239.132854333596
1822,000900,008500,12013.938658187428
1823,000900,009200,12673.958007963894
1824,000900,009500,13922.354694114449
1825,000900,009701,18134.56719088134
1826,000900,006200,7829.929214382022
1827,000900,006400,9072.683820279348
1828,000900,006600,9328.99049535215
1829,000900,011300,20706.56060341122
1830,000900,022101,4197.281890270994
1831,000900,022102,5241.267542978175
1832,000900,022202,4590.672069936331
1833,000900,022300,1683.4548605198104
1834,000900,022605,8898.055663683679
1835,000900,023100,16637.23974310836
1836,000900,023401,16360.997381585164
1837,000900,023403,18438.796077744642
1838,000900,023604,14900.291829689248
1839,000900,023801,13877.881212656346
1840,000900,011002,18649.256326838822
1841,000900,011102,18635.495846167618
1842,000900,024100,8447.50264067764
1843,000900,024400,14593.598953322029
1844,000900,025005,21759.46945610283
1845,000900,025102,25249.198498752157
1846,000900,025301,22581.424165793676
1847,000900,025500,24581.789794445227
1848,000900,009900,16417.244030339152
1849,000900,010402,17291.383163944385
1850,000900,010600,19821.449545120366
1851,000900,021904,8473.180712938034
1852,000900,021906,8878.545858476653
1856,000900,022702,8081.165953614714
1857,000900,001000,1802.8652852041046
1858,000900,001200,3803.6546838653608
1859,000900,022802,11378.663393477027
1860,000900,023000,15944.450799429167
1861,000900,011500,21152.020605008234
1862,000900,011800,20518.69252687171
1863,000900,001900,4222.704932351863
1864,000900,002200,1503.319737358997
1865,000900,002500,3426.5526233113565
1866,000900,002700,4955.182764674814
1867,000900,020100,11047.271468176748
1868,000900,020200,9920.62574897925
1869,000900,020401,7935.383922827261
1870,000900,020800,9247.433632409242
1871,000900,021100,4874.3220811187675
1872,000900,021400,5360.735291256144
1873,000900,021700,6930.547357333887
1874,000900,021803,7727.120597986668
1875,000900,003200,10166.776252949805
1876,000900,024702,20153.908113207992
1877,000900,024903,19964.055861533383
1878,000900,024601,17998.530846488375
1879,000900,032328,17622.649206001744
1880,000900,032401,24892.85667091722
1881,000900,032402,24057.39090970206
1882,000900,032601,33662.03720672355
1883,000900,032325,12749.730794602428
1884,000900,032703,40109.092400549875
1885,000900,031904,31200.70358042738
1886,000900,031907,30164.35610988265
1887,000900,032007,38219.86614101555
1888,000900,032011,41590.339023064
1889,000900,032103,25157.23489556727
1890,000900,031301,57740.291039525044
1891,000900,032104,27840.27456175708
1892,000900,032207,21243.01173535236
1893,000900,031604,43462.793817290985
1894,000900,031706,39874.258624842456
1895,000900,031903,27790.32779200967
1896,000900,032321,11005.868179897958
1897,000900,032323,12070.331579654408
1899,000900,001800,5445.141017642366
1900,000900,003100,9450.906017563884
1901,000900,022701,7723.158618098869
1902,000900,023300,16044.236731914065
1903,000900,024000,10251.798008031452
1904,000900,024902,18877.632320782817
1905,000900,026002,24807.4176716923
1906,000900,027000,23642.393953471437
1907,000900,027600,26417.492705465735
1908,000900,028403,29742.073732613884
1909,000900,029004,36447.39317087159
1910,000900,029901,42524.833157548615
1911,000900,030305,43777.176561037144
1912,000900,030501,42233.863980286216
1913,000900,031205,42771.50295778175
1914,000900,005900,9730.33460748808
1915,000900,004900,8153.684053316406
1916,000900,032704,44655.920879362755
1917,000900,007000,10832.65006591613
1918,000900,009600,15945.387270794807
1919,000900,010500,18699.937103799275
1920,000900,011402,21862.907116019658
1921,000900,020402,7185.140016251264
1922,000900,022201,3687.1332660506723
